hex_id,pop,light
86580a967ffffff,9592,31
86580a96fffffff,16038,32
86580a977ffffff,7946,33
86580a987ffffff,5687,34
86580a98fffffff,6160,32
86580a997ffffff,10982,40
86580a99fffffff,9384,36
86580a9a7ffffff,9194,34
86580a9afffffff,19933,105
86580a9b7ffffff,13942,41
86580aa07ffffff,4037,30
86580aa0fffffff,4825,30
86580aa17ffffff,8395,31
86580aa1fffffff,3991,30
86580aa27ffffff,4354,30
86580aa2fffffff,2682,33
86580aa37ffffff,11257,40
86580aa47ffffff,2383,31
86580aa4fffffff,3532,29
86580aa57ffffff,2281,28
86580aa5fffffff,3239,30
86580aa67ffffff,3541,37
86580aa6fffffff,9943,73
86580aa77ffffff,2838,31
86580aa87ffffff,4696,32
86580aa8fffffff,3445,30
86580aa97ffffff,4806,33
86580aa9fffffff,3169,29
86580aaa7ffffff,10962,32
