lng,lat,year,value
-37.347,-5.1878,2000,176418
-42.3724,-21.1325,2000,73205
-35.2363,-5.7995,2000,785596
-42.5316,-22.2743,2000,121342
-51.1231,-29.7133,2000,474551
-49.8722,-22.9778,2000,82383
-46.8731,-17.2259,2000,58389
-47.3569,-2.9981,2000,56271
-48.5347,-25.5358,2000,117431
-52.46,-23.0881,2000,53091
-47.7735,-15.7573,2000,70862
-56.7379,-2.6376,2000,58487
-35.2729,-5.9182,2000,65649
-41.7623,-2.9184,2000,103203
-44.5995,-19.859,2000,54703
-52.4054,-28.2605,2000,149694
-46.6105,-20.7187,2000,87058
-37.2812,-7.0298,2000,82543
-46.5123,-18.5869,2000,97317
-52.3429,-31.749,2000,266888
-46.7513,-23.4095,2000,71312
-40.5089,-9.4043,2000,278327
-43.1793,-22.503,2000,203802
-45.4574,-22.9326,2000,55591
-47.6527,-22.7266,2000,290593
-44.9434,-17.3487,2000,62331
-47.651,-15.6237,2000,84079
-47.6095,-15.4535,2000,53879
-50.1594,-25.0906,2000,229919
-51.1532,-30.0532,2000,1667894
-63.8674,-8.7675,2000,279195
-45.9366,-22.2355,2000,73630
-46.5594,-21.7933,2000,98401
-46.4704,-24.0102,2000,247072
-51.4007,-22.1197,2000,156759
-48.0695,-15.9124,2000,114292
-34.9208,-8.0462,2000,2989642
-43.0432,-22.9416,2000,52015
-44.4679,-22.4716,2000,81222
-43.1938,-22.8051,2000,194843
-47.8103,-21.1642,2000,423026
-67.8231,-9.9671,2000,186451
-47.567,-22.3994,2000,144807
-52.1326,-32.0552,2000,150228
-50.9236,-17.787,2000,98214
-43.3667,-22.8458,2000,8416754
-54.6334,-16.4528,2000,100907
-47.2877,-23.2016,2000,67898
-38.4514,-12.9367,2000,2593460
-55.521,-30.8831,2000,69361
-36.2086,-7.9511,2000,68008
-52.4329,-29.7246,2000,62710
-45.3791,-3.6607,2000,59028
-53.8252,-29.6912,2000,182610
-51.1683,-0.041,2000,72954
-54.7191,-2.4432,2000,174683
-39.2579,-12.9698,2000,62456
-54.2599,-28.2977,2000,58741
-46.3345,-23.9604,2000,908658
-43.0306,-22.8382,2000,1405599
-45.8931,-23.2142,2000,398713
-50.9985,-29.6386,2000,60575
-51.149,-29.8386,2000,194379
-47.9971,-21.1288,2000,80669
-44.2341,-19.4478,2000,161278
-38.393,-12.7925,2000,71152
-47.8127,-15.6464,2000,81213
-40.3571,-3.6856,2000,99992
-47.471,-23.4942,2000,515943
-47.9285,-15.7976,2000,129669
-56.0114,-28.6477,2000,51029
-47.8947,-22.02,2000,167146
-49.3865,-20.7979,2000,316509
-46.7931,-21.9771,2000,64361
-44.2481,-21.1302,2000,66819
-44.2382,-2.5471,2000,937488
-46.5999,-23.5767,2000,16702008
-47.7703,-15.9036,2000,53074
-47.8528,-23.3503,2000,68575
-45.5621,-23.0204,2000,230088
-64.7132,-3.3516,2000,54070
-39.7422,-17.542,2000,92599
-50.6292,-24.3276,2000,54470
-42.7938,-5.0953,2000,683020
-42.9674,-22.4215,2000,88653
-41.5062,-17.8613,2000,98468
-53.7301,-24.7372,2000,67789
-51.704,-20.7906,2000,57012
-43.2036,-22.1074,2000,54332
-49.0096,-28.4828,2000,57723
-49.6738,-3.7655,2000,61646
-50.5089,-21.9332,2000,54820
-47.9301,-19.7541,2000,225348
-48.2777,-18.918,2000,451022
-42.9417,-21.1172,2000,60216
-53.3118,-23.7657,2000,67880
-46.896,-16.3662,2000,51154
-57.0812,-29.7685,2000,115655
-48.0269,-16.0422,2000,315748
-45.4355,-21.5606,2000,96738
