iso3c,year,value
KEN,2017,0.61
KEN,2018,0.24
KEN,2019,0.12
KEN,2020,0
KEN,2021,0.05
KEN,2022,0.06
KEN,2023,0.05
KEN,2024,0.05
KGZ,2015,10.4
KGZ,2016,10.32
KGZ,2017,10.86
KGZ,2018,10.74
KGZ,2019,9.18
KGZ,2020,9.54
KGZ,2021,10.14
KGZ,2022,12.8
KGZ,2023,10.29
KGZ,2024,9.01
KHM,2015,0
KHM,2016,0
KHM,2017,0
KHM,2018,0
KHM,2019,0.44
KHM,2020,0.53
KHM,2021,0.37
KHM,2022,0.58
KHM,2023,0.31
KHM,2024,0.3
KIR,2015,0.36
KIR,2016,0.39
KIR,2017,0.32
KIR,2018,0
KIR,2019,0
KIR,2020,0
KIR,2021,0
KIR,2022,0
KIR,2023,0
KIR,2024,0
KOR,2015,0
KOR,2016,0
KOR,2017,0
KOR,2018,1.24
KOR,2019,1.04
KOR,2020,1.11
KOR,2021,1.68
KOR,2022,3.23
KOR,2023,1.49
KOR,2024,1.22
KWT,2015,6.29
KWT,2016,4.72
KWT,2017,4.44
KWT,2018,5.5
KWT,2019,5.4
KWT,2020,4.31
KWT,2021,5.85
KWT,2022,8.29
KWT,2023,5.13
KWT,2024,4.1
LAO,2015,0
LAO,2016,0
LAO,2017,0.23
LAO,2018,0.38
LAO,2019,0.47
LAO,2020,0.62
LAO,2021,0.56
LAO,2022,0.51
LAO,2023,0.5
LAO,2024,0.5
LBN,2015,3.25
LBN,2016,1.82
LBN,2017,4.15
LBN,2018,2.11
LBN,2019,5.57
LBN,2020,6.14
LBN,2021,6.23
LBN,2022,5.66
LBN,2023,5.59
LBN,2024,5.61
LBR,2015,0
LBR,2016,0
LBR,2017,0
LBR,2018,0
LBR,2019,0.12
LBR,2020,0.63
LBR,2021,0.24
LBR,2022,0.23
LBR,2023,0.23
LBR,2024,0.22
LBY,2015,4.14
LBY,2016,4.83
LBY,2017,4.29
LBY,2018,4.42
LBY,2019,5.22
LBY,2020,2.24
LBY,2021,4.78
LBY,2022,4.27
LBY,2023,4.85
LBY,2024,5.73
LCA,2015,0
LCA,2016,0
LCA,2017,0
LCA,2018,0.19
LCA,2019,0.28
LCA,2020,0.53
LCA,2021,0.38
LCA,2022,0.35
LCA,2023,0.34
LCA,2024,0.33
LKA,2015,0.25
LKA,2016,0.1
LKA,2017,0.35
LKA,2018,0.8
LKA,2019,0.78
LKA,2020,0.78
LKA,2021,0.73
LKA,2022,0.69
LKA,2023,0.67
LKA,2024,0.67
LSO,2015,0.16
LSO,2016,0.12
LSO,2017,0.11
LSO,2018,0.21
LSO,2019,0.09
LSO,2020,0.01
LSO,2021,0.07
LSO,2022,0.16
LSO,2023,0.13
LSO,2024,0.11
LTU,2015,1.29
LTU,2016,1.28
LTU,2017,1.56
LTU,2018,1.38
LTU,2019,1.13
LTU,2020,0.9
LTU,2021,1.16
LTU,2022,1.36
LTU,2023,1.12
LTU,2024,1.05
LUX,2015,0.6
LUX,2016,0.7
LUX,2017,0.76
LUX,2018,0.64
LUX,2019,0.53
LUX,2020,0.48
LUX,2021,0.58
LUX,2022,0.68
LUX,2023,0.66
LUX,2024,0.61
LVA,2015,0.24
LVA,2016,0.3
LVA,2017,0.43
LVA,2018,0.5
LVA,2019,0.51
LVA,2020,0.65
LVA,2021,0.67
LVA,2022,0.66
LVA,2023,0.58
LVA,2024,0.54
MAR,2015,1.47
MAR,2016,1.28
MAR,2017,1.63
MAR,2018,1.99
MAR,2019,1.5
MAR,2020,1.5
MAR,2021,1.24
MAR,2022,1
MAR,2023,1.02
MAR,2024,1.04
MDA,2015,6.02
MDA,2016,3.11
MDA,2017,1.41
MDA,2018,2.64
MDA,2019,2.39
MDA,2020,2.49
MDA,2021,3.16
MDA,2022,1.86
MDA,2023,1.75
MDA,2024,1.62
MDG,2015,1.31
MDG,2016,0.64
MDG,2017,0.86
MDG,2018,1.21
MDG,2019,0.91
MDG,2020,2.16
MDG,2021,1.2
MDG,2022,1.89
MDG,2023,1.25
MDG,2024,1.15
MDV,2015,0.54
MDV,2016,0.53
MDV,2017,1.27
MDV,2018,1.88
MDV,2019,2.65
MDV,2020,3.28
MDV,2021,3.08
MDV,2022,2.79
MDV,2023,2.97
MDV,2024,2.88
MEX,2015,0.37
MEX,2016,0.44
MEX,2017,0.43
MEX,2018,0.5
MEX,2019,0.37
MEX,2020,0.38
MEX,2021,0.53
MEX,2022,0.5
MEX,2023,0.37
MEX,2024,0.39
MKD,2015,0.46
MKD,2016,0.31
MKD,2017,5.51
MKD,2018,3.92
MKD,2019,2.45
MKD,2020,1.99
MKD,2021,2.49
MKD,2022,2.43
MKD,2023,2.27
MKD,2024,2
MLI,2015,6.15
MLI,2016,6.78
MLI,2017,5.12
MLI,2018,0.34
MLI,2019,1.86
MLI,2020,1.89
MLI,2021,1.82
MLI,2022,1.78
MLI,2023,1.78
MLI,2024,1.79
MLT,2015,0
MLT,2016,0
MLT,2017,0
MLT,2018,0
MLT,2019,0
MLT,2020,0
MLT,2021,0
MLT,2022,0
MLT,2023,0
MLT,2024,0
MMR,2015,1.03
MMR,2016,0.66
MMR,2017,1.28
MMR,2018,2.07
MMR,2019,1.17
MMR,2020,0.92
MMR,2021,1.09
MMR,2022,1.05
MMR,2023,1.1
MMR,2024,1.07
MNG,2015,0.82
MNG,2016,1.14
MNG,2017,2.3
MNG,2018,2.67
MNG,2019,2.76
MNG,2020,2.78
MNG,2021,3.1
MNG,2022,3.75
MNG,2023,2.49
MNG,2024,2.45
MOZ,2015,0
MOZ,2016,1.17
MOZ,2017,0.89
MOZ,2018,0.89
MOZ,2019,0
MOZ,2020,0.03
MOZ,2021,0
MOZ,2022,0.02
MOZ,2023,0
MOZ,2024,0
MRT,2015,2.9
MRT,2016,3.04
MRT,2017,3.08
MRT,2018,3.9
MRT,2019,3.65
MRT,2020,3.8
MRT,2021,3.68
MRT,2022,4.17
MRT,2023,3.94
MRT,2024,4.18
MUS,2015,0
MUS,2016,0
MUS,2017,0.27
MUS,2018,0.94
MUS,2019,1.3
MUS,2020,1.34
MUS,2021,1.32
MUS,2022,1.24
MUS,2023,1.21
MUS,2024,1.19
MWI,2015,0
MWI,2016,0
MWI,2017,0
MWI,2018,0
MWI,2019,0
MWI,2020,0
MWI,2021,0
MWI,2022,0.01
MWI,2023,0
